"","species","latitude","longitude"
"285","Callitriche cophocarpa Sendtner",57.8223718077002,15.0782363353476
"286","Callitriche cophocarpa Sendtner",62.43695,15.834082
"287","Callitriche cophocarpa Sendtner",63.525623,14.498449
"288","Callitriche cophocarpa Sendtner",57.04269,13.33309
"289","Callitriche cophocarpa Sendtner",59.030676,17.188275
"290","Callitriche cophocarpa Sendtner",56.1163919,13.747386
"291","Callitriche cophocarpa Sendtner",61.1179,24.34091667
"292","Callitriche cophocarpa Sendtner",58.934735,16.316074
"293","Callitriche cophocarpa Sendtner",57.711052,14.3129019
"294","Callitriche cophocarpa Sendtner",58.295822,13.072257
"295","Callitriche cophocarpa Sendtner",63.7451539,18.5113939
"296","Callitriche cophocarpa Sendtner",62.487689,16.7360359
"297","Callitriche cophocarpa Sendtner",58.1252459,12.83574
"298","Callitriche cophocarpa Sendtner",56.2073925,12.5951599
"299","Callitriche cophocarpa Sendtner",63.535977,15.443109
"300","Callitriche cophocarpa Sendtner",56.434669,13.876132
"301","Callitriche cophocarpa Sendtner",57.762568,15.409431
"302","Callitriche cophocarpa Sendtner",57.7662139,12.25497
"303","Callitriche cophocarpa Sendtner",57.634408,12.746986
"304","Callitriche cophocarpa Sendtner",59.1963399,18.145969
"305","Callitriche cophocarpa Sendtner",57.2700549,16.37706
"306","Callitriche cophocarpa Sendtner",57.6405964338801,16.4414683108312
"307","Callitriche cophocarpa Sendtner",56.0487128,13.7186862
"308","Callitriche cophocarpa Sendtner",56.2251759,15.36438
"309","Callitriche cophocarpa Sendtner",58.4965761,12.2777639
"310","Callitriche cophocarpa Sendtner",56.4410567379644,13.0696216797484
"311","Callitriche cophocarpa Sendtner",62.5703269,16.388514
"312","Callitriche cophocarpa Sendtner",59.197085,16.256982
"313","Callitriche cophocarpa Sendtner",58.5272939,13.842383
"314","Callitriche cophocarpa Sendtner",59.849677,18.013216
"315","Callitriche cophocarpa Sendtner",57.998269,13.18973
"316","Callitriche cophocarpa Sendtner",62.391603,15.4377099
"317","Callitriche cophocarpa Sendtner",57.4108469,16.503211
"318","Callitriche cophocarpa Sendtner",59.282463,16.57274
"319","Callitriche cophocarpa Sendtner",59.733255,16.4314709
"320","Callitriche cophocarpa Sendtner",58.5549729,15.589947
"321","Callitriche cophocarpa Sendtner",58.4082422,14.1843534
"322","Callitriche cophocarpa Sendtner",57.228543,16.004726
"323","Callitriche cophocarpa Sendtner",58.0061329,14.068956
"324","Callitriche cophocarpa Sendtner",58.9053389,16.254566
"325","Callitriche cophocarpa Sendtner",57.1813784,13.5672624
"326","Callitriche cophocarpa Sendtner",58.924503,16.338837
